ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Ampol Brunkerville,"1549 LEGGETTS DR, BRUNKERVILLE NSW 2323",BRUNKERVILLE,2323,Ampol,P98,2026-04-14 07:13:40,237.9
Ampol Alstonville,"73 MAIN ST, ALSTONVILLE NSW 2477",ALSTONVILLE,2477,Ampol,E10,2026-04-14 07:18:40,219.9
Ampol Alstonville,"73 MAIN ST, ALSTONVILLE NSW 2477",ALSTONVILLE,2477,Ampol,P95,2026-04-14 07:18:40,235.9
Ampol Alstonville,"73 MAIN ST, ALSTONVILLE NSW 2477",ALSTONVILLE,2477,Ampol,P98,2026-04-14 07:18:40,244.9
Ampol Foodary Belmont North,"406 Pacific Hwy, BELMONT NORTH NSW 2280",BELMONT NORTH,2280,Ampol Foodary,P95,2026-04-14 07:22:13,237.9
Ampol Foodary Swansea,"126 Pacific Hwy, SWANSEA NSW 2281",SWANSEA,2281,Ampol Foodary,P95,2026-04-14 07:22:13,234.9
Mobil The Oaks,"1190 Burragorang Rd, The Oaks NSW 2570",The Oaks,2570,Mobil,P98,2026-04-14 07:29:26,239.9
Mobil The Oaks,"1190 Burragorang Rd, The Oaks NSW 2570",The Oaks,2570,Mobil,E10,2026-04-14 07:30:11,215.9
Mobil The Oaks,"1190 Burragorang Rd, The Oaks NSW 2570",The Oaks,2570,Mobil,U91,2026-04-14 07:30:11,216.9
Summers Oxley Vale Takeaway & Superette,"171 Manilla Rd, OXLEY VALE NSW 2340",OXLEY VALE,2340,Transwest Fuels,U91,2026-04-14 07:30:51,224.0
METRO FYSHWICK WHYALLA,"51 Whyalla St, Fyshwick ACT 2609",Fyshwick,2609,Metro Fuel,E10,2026-04-14 07:40:23,209.9
METRO FYSHWICK WHYALLA,"51 Whyalla St, Fyshwick ACT 2609",Fyshwick,2609,Metro Fuel,U91,2026-04-14 07:40:23,214.9
METRO FYSHWICK WHYALLA,"51 Whyalla St, Fyshwick ACT 2609",Fyshwick,2609,Metro Fuel,P98,2026-04-14 07:40:23,234.9
Tasco Bunnaloo,"RMB 520, Bunnaloo NSW 2731",Bunnaloo,2731,Ampol,U91,2026-04-14 07:43:39,225.9
Ampol Wallacia,"2510 Silverdale Road, Wallacia NSW 2745",Wallacia,2745,Ampol,E10,2026-04-14 07:48:05,223.5
Ampol Wallacia,"2510 Silverdale Road, Wallacia NSW 2745",Wallacia,2745,Ampol,U91,2026-04-14 07:48:05,225.5
Ampol Wallacia,"2510 Silverdale Road, Wallacia NSW 2745",Wallacia,2745,Ampol,P98,2026-04-14 07:48:05,247.5
Independent Yenda,"31 Yenda Place, Yenda NSW 2680",Yenda,2680,Independent,U91,2026-04-14 07:51:19,229.9
Independent Yenda,"31 Yenda Place, Yenda NSW 2680",Yenda,2680,Independent,P95,2026-04-14 07:51:19,239.9
Independent Paterson,"38 Maitland Road, Paterson NSW 2421",Paterson,2421,Independent,P95,2026-04-14 07:51:57,233.9
Mobil North Nowra,"MOBIL NORTH NOWRA SERVICE STATION 172 ILLAROO RD, NORTH NOWRA NSW 2541",NORTH NOWRA,2541,Mobil 1 Carlingford Car Care,P95,2026-04-14 07:53:20,229.9
Mobil North Nowra,"MOBIL NORTH NOWRA SERVICE STATION 172 ILLAROO RD, NORTH NOWRA NSW 2541",NORTH NOWRA,2541,Mobil 1 Carlingford Car Care,U91,2026-04-14 07:53:20,216.9
Metro Peakhurst East,"637 Forest Rd, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,E10,2026-04-14 07:53:34,209.7
Metro Peakhurst East,"637 Forest Rd, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,U91,2026-04-14 07:53:34,211.7
