ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
7-Eleven Plumpton,"Corner Richmond Road & Dublin Street, Plumpton NSW 2761",Plumpton,2761,7-Eleven,PDL,2026-08-24 17:42:17,259.9
7-Eleven Windsor,"12 Hawkesbury Valley Way, WINDSOR NSW 2756",WINDSOR,2756,7-Eleven,PDL,2026-08-24 17:42:17,249.9
Ampol Foodary Wentworthville,"313 Great Western Hwy, SOUTH WENTWORTHVILLE NSW 2145",SOUTH WENTWORTHVILLE,2145,Ampol Foodary,P98,2026-08-24 17:42:24,237.9
Ampol Foodary Wentworthville,"313 Great Western Hwy, SOUTH WENTWORTHVILLE NSW 2145",SOUTH WENTWORTHVILLE,2145,Ampol Foodary,U91,2026-08-24 17:42:24,210.9
Ampol Foodary Pendle Hill,"602-606 Great Western Hwy, Pendle Hill NSW 2145",Pendle Hill,2145,Ampol Foodary,P98,2026-08-24 17:42:24,239.9
Ampol Foodary Pendle Hill,"602-606 Great Western Hwy, Pendle Hill NSW 2145",Pendle Hill,2145,Ampol Foodary,P95,2026-08-24 17:42:24,229.9
Ampol Foodary Pendle Hill,"602-606 Great Western Hwy, Pendle Hill NSW 2145",Pendle Hill,2145,Ampol Foodary,U91,2026-08-24 17:42:24,212.9
Ampol Foodary Wentworthville,"313 Great Western Hwy, SOUTH WENTWORTHVILLE NSW 2145",SOUTH WENTWORTHVILLE,2145,Ampol Foodary,P95,2026-08-24 17:42:24,227.9
Ampol Foodary Wentworthville,"313 Great Western Hwy, SOUTH WENTWORTHVILLE NSW 2145",SOUTH WENTWORTHVILLE,2145,Ampol Foodary,E10,2026-08-24 17:42:24,208.9
7-Eleven Ashfield,"132 LIVERPOOL RD, ASHFIELD NSW 2131",ASHFIELD,2131,7-Eleven,E10,2026-08-24 17:45:21,206.9
7-Eleven Green Valley,"187 Wilson Road, Green Valley NSW 2168",Green Valley,2168,7-Eleven,U91,2026-08-24 17:45:21,205.9
7-Eleven Georges Hall,"48 SURREY AV, GEORGES HALL NSW 2198",GEORGES HALL,2198,7-Eleven,P98,2026-08-24 17:45:21,235.9
7-Eleven Ashfield,"132 LIVERPOOL RD, ASHFIELD NSW 2131",ASHFIELD,2131,7-Eleven,P98,2026-08-24 17:45:21,234.9
7-Eleven Green Valley,"187 Wilson Road, Green Valley NSW 2168",Green Valley,2168,7-Eleven,P98,2026-08-24 17:45:21,231.9
7-Eleven Georges Hall,"48 SURREY AV, GEORGES HALL NSW 2198",GEORGES HALL,2198,7-Eleven,P95,2026-08-24 17:45:21,226.9
7-Eleven Green Valley,"187 Wilson Road, Green Valley NSW 2168",Green Valley,2168,7-Eleven,E10,2026-08-24 17:45:21,203.9
7-Eleven Georges Hall,"48 SURREY AV, GEORGES HALL NSW 2198",GEORGES HALL,2198,7-Eleven,E10,2026-08-24 17:45:21,207.9
7-Eleven Georges Hall,"48 SURREY AV, GEORGES HALL NSW 2198",GEORGES HALL,2198,7-Eleven,U91,2026-08-24 17:45:21,209.9
BP Port Kembla,"144 Wentworth Street, Port Kembla NSW 2505",Port Kembla,2505,BP,U91,2026-08-24 17:47:28,210.9
BP Port Kembla,"144 Wentworth Street, Port Kembla NSW 2505",Port Kembla,2505,BP,E10,2026-08-24 17:47:28,204.9
BP Port Kembla,"144 Wentworth Street, Port Kembla NSW 2505",Port Kembla,2505,BP,P95,2026-08-24 17:47:28,229.9
BP Port Kembla,"144 Wentworth Street, Port Kembla NSW 2505",Port Kembla,2505,BP,P98,2026-08-24 17:47:28,231.9
Calvi Petrol Station,"320 Lane Cove Road, North Ryde NSW 2113",North Ryde,2113,Calvi Petrol,PDL,2026-08-24 17:47:40,236.9
Calvi Petrol Station,"320 Lane Cove Road, North Ryde NSW 2113",North Ryde,2113,Calvi Petrol,P95,2026-08-24 17:47:40,215.9
Calvi Petrol Station,"320 Lane Cove Road, North Ryde NSW 2113",North Ryde,2113,Calvi Petrol,P98,2026-08-24 17:47:40,216.9
Calvi Petrol Station,"320 Lane Cove Road, North Ryde NSW 2113",North Ryde,2113,Calvi Petrol,U91,2026-08-24 17:47:40,189.9
BP Port Kembla,"144 Wentworth Street, Port Kembla NSW 2505",Port Kembla,2505,BP,P95,2026-08-24 17:47:54,222.9
BP Port Kembla,"144 Wentworth Street, Port Kembla NSW 2505",Port Kembla,2505,BP,U91,2026-08-24 17:48:05,206.9
7-Eleven Seven Hills,"151 Prospect Hwy, SEVEN HILLS NSW 2147",SEVEN HILLS,2147,7-Eleven,U91,2026-08-24 17:48:25,199.9
7-Eleven Seven Hills,"151 Prospect Hwy, SEVEN HILLS NSW 2147",SEVEN HILLS,2147,7-Eleven,P98,2026-08-24 17:48:25,225.9
7-Eleven Seven Hills,"151 Prospect Hwy, SEVEN HILLS NSW 2147",SEVEN HILLS,2147,7-Eleven,E10,2026-08-24 17:48:25,197.9
7-Eleven Seven Hills,"151 Prospect Hwy, SEVEN HILLS NSW 2147",SEVEN HILLS,2147,7-Eleven,P95,2026-08-24 17:48:25,216.9
7-Eleven Green Valley,"187 Wilson Road, Green Valley NSW 2168",Green Valley,2168,7-Eleven,PDL,2026-08-24 17:48:25,251.9
Astron Rydalmere,262 - 272 VICTORIA RD Rydalmere NSW 2116,Rydalmere,2116,ASTRON,DL,2026-08-24 17:49:59,239.9
Astron Rydalmere,262 - 272 VICTORIA RD Rydalmere NSW 2116,Rydalmere,2116,ASTRON,U91,2026-08-24 17:49:59,191.9
Astron Rydalmere,262 - 272 VICTORIA RD Rydalmere NSW 2116,Rydalmere,2116,ASTRON,P95,2026-08-24 17:49:59,211.9
Astron Rydalmere,262 - 272 VICTORIA RD Rydalmere NSW 2116,Rydalmere,2116,ASTRON,E10,2026-08-24 17:49:59,189.9
Astron Rydalmere,262 - 272 VICTORIA RD Rydalmere NSW 2116,Rydalmere,2116,ASTRON,P98,2026-08-24 17:49:59,219.9
Speedway Earlwood,"200 Homer St, Earlwood NSW 2206",Earlwood,2206,Speedway,E10,2026-08-24 17:53:54,189.8
Speedway Earlwood,"200 Homer St, Earlwood NSW 2206",Earlwood,2206,Speedway,U91,2026-08-24 17:53:59,189.8
