ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Ampol Narwee,"41 BROADARROW RD, NARWEE NSW 2209",NARWEE,2209,Ampol,PDL,2026-08-24 19:05:08,238.9
Shell Reddy Express Mudgee,"47 Church St (Cnr Mortimer St), Mudgee NSW 2850",Mudgee,2850,Reddy Express,U91,2026-08-24 19:05:20,213.9
Shell Bermagui,"2 BUNGA ST, BERMAGUI NSW 2546",BERMAGUI,2546,Shell,DL,2026-08-24 19:07:41,257.9
Shell Bermagui,"2 BUNGA ST, BERMAGUI NSW 2546",BERMAGUI,2546,Shell,U91,2026-08-24 19:07:41,217.9
Shell Bermagui,"2 BUNGA ST, BERMAGUI NSW 2546",BERMAGUI,2546,Shell,P98,2026-08-24 19:07:41,242.9
METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,E10,2026-08-24 19:10:55,190.9
METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,P98,2026-08-24 19:10:55,218.9
METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,PDL,2026-08-24 19:10:55,234.9
METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,U91,2026-08-24 19:10:55,194.9
Metro Petroleum Narwee,"32 Bryant St, NARWEE NSW 2209",NARWEE,2209,Metro Fuel,PDL,2026-08-24 19:14:33,235.9
Metro Petroleum Narwee,"32 Bryant St, NARWEE NSW 2209",NARWEE,2209,Metro Fuel,E10,2026-08-24 19:14:33,184.7
Shell Reddy Express Fyshwick Wiluna,"8/12 Wiluna St, Fyshwick Wiluna ACT 2609",Fyshwick Wiluna,2609,Reddy Express,DL,2026-08-24 19:15:24,250.9
SPEEDWAY SACKVILLE STREET FAIRFIELD,"115 Sackville Street, FAIRFIELD NSW 2165",FAIRFIELD,2165,Speedway,E10,2026-08-24 19:15:49,189.5
SPEEDWAY SACKVILLE STREET FAIRFIELD,"115 Sackville Street, FAIRFIELD NSW 2165",FAIRFIELD,2165,Speedway,P98,2026-08-24 19:15:49,213.5
SPEEDWAY SACKVILLE STREET FAIRFIELD,"115 Sackville Street, FAIRFIELD NSW 2165",FAIRFIELD,2165,Speedway,U91,2026-08-24 19:15:49,191.5
United Petroleum Singleton,"59 John Street, Singleton NSW 2330",Singleton,2330,United,U91,2026-08-24 19:20:08,206.9
United Petroleum Singleton,"59 John Street, Singleton NSW 2330",Singleton,2330,United,P98,2026-08-24 19:20:08,229.9
